InputBits	Constant	Area
2	0	704700.000000
2	1	0.000000
2	2	856340.000000
3	0	875780.000000
3	1	704700.000000
3	2	724140.000000
3	3	0.000000
3	4	1027420.000000
3	5	856340.000000
3	6	875780.000000
4	0	1046860.000000
4	1	875780.000000
4	2	895220.000000
4	3	704700.000000
4	4	1428840.000000
4	5	724140.000000
4	6	1580480.000000
4	7	0.000000
4	8	1732120.000000
4	9	1027420.000000
4	10	1157640.000000
4	11	856340.000000
4	12	1046860.000000
4	13	875780.000000
4	14	895220.000000
5	0	1708780.000000
5	1	1046860.000000
5	2	1557140.000000
5	3	875780.000000
5	4	1599920.000000
5	5	895220.000000
5	6	1751560.000000
5	7	704700.000000
5	8	1599920.000000
5	9	1428840.000000
5	10	1448280.000000
5	11	724140.000000
5	12	1751560.000000
5	13	1580480.000000
5	14	1523140.000000
5	15	0.000000
5	16	2436820.000000
5	17	1732120.000000
5	18	1328720.000000
5	19	1027420.000000
5	20	1771000.000000
5	21	1157640.000000
5	22	1903200.000000
5	23	856340.000000
5	24	1751560.000000
5	25	1046860.000000
5	26	1903200.000000
5	27	875780.000000
5	28	1599920.000000
5	29	895220.000000
5	30	1751560.000000
6	0	1922640.000000
6	1	1708780.000000
6	2	2607900.000000
6	3	1046860.000000
6	4	2627340.000000
6	5	1557140.000000
6	6	2413480.000000
6	7	875780.000000
6	8	1771000.000000
6	9	1599920.000000
6	10	1619360.000000
6	11	895220.000000
6	12	1922640.000000
6	13	1751560.000000
6	14	1706610.000000
6	15	704700.000000
6	16	1771000.000000
6	17	1599920.000000
6	18	1619360.000000
6	19	1428840.000000
6	20	2152980.000000
6	21	1448280.000000
6	22	2304620.000000
6	23	724140.000000
6	24	2456260.000000
6	25	1751560.000000
6	26	2304620.000000
6	27	1580480.000000
6	28	2607900.000000
6	29	1523140.000000
6	30	1619360.000000
6	31	0.000000
6	32	1790440.000000
6	33	2436820.000000
6	34	1638800.000000
6	35	1732120.000000
6	36	2759540.000000
6	37	1328720.000000
6	38	2466730.000000
6	39	1027420.000000
6	40	2759540.000000
6	41	1771000.000000
6	42	2868150.000000
6	43	1157640.000000
6	44	2627340.000000
6	45	1903200.000000
6	46	1638800.000000
6	47	856340.000000
6	48	2456260.000000
6	49	1751560.000000
6	50	2607900.000000
6	51	1046860.000000
6	52	2627340.000000
6	53	1903200.000000
6	54	1922640.000000
6	55	875780.000000
6	56	1771000.000000
6	57	1599920.000000
6	58	1619360.000000
6	59	895220.000000
6	60	1638800.000000
6	61	1751560.000000
6	62	2607900.000000
7	0	2627340.000000
7	1	1922640.000000
7	2	2475700.000000
7	3	1708780.000000
7	4	2475700.000000
7	5	2607900.000000
7	6	2627340.000000
7	7	1046860.000000
7	8	2475700.000000
7	9	2627340.000000
7	10	2324060.000000
7	11	1557140.000000
7	12	2093720.000000
7	13	2413480.000000
7	14	1942080.000000
7	15	875780.000000
7	16	1942080.000000
7	17	1771000.000000
7	18	1790440.000000
7	19	1599920.000000
7	20	2324060.000000
7	21	1619360.000000
7	22	2475700.000000
7	23	895220.000000
7	24	2627340.000000
7	25	1922640.000000
7	26	2475700.000000
7	27	1751560.000000
7	28	2778980.000000
7	29	1706610.000000
7	30	1790440.000000
7	31	704700.000000
7	32	2950060.000000
7	33	1771000.000000
7	34	2798420.000000
7	35	1599920.000000
7	36	2324060.000000
7	37	1619360.000000
7	38	2475700.000000
7	39	1428840.000000
7	40	2324060.000000
7	41	2152980.000000
7	42	2172420.000000
7	43	1448280.000000
7	44	2475700.000000
7	45	2304620.000000
7	46	2798420.000000
7	47	724140.000000
7	48	2627340.000000
7	49	2456260.000000
7	50	2475700.000000
7	51	1751560.000000
7	52	2495140.000000
7	53	2304620.000000
7	54	2738120.000000
7	55	1580480.000000
7	56	2475700.000000
7	57	2607900.000000
7	58	2324060.000000
7	59	1523140.000000
7	60	3101700.000000
7	61	1619360.000000
7	62	2475700.000000
7	63	0.000000
7	64	2778980.000000
7	65	1790440.000000
7	66	2930620.000000
7	67	2436820.000000
7	68	2757560.000000
7	69	1638800.000000
7	70	2909200.000000
7	71	1732120.000000
7	72	3180400.000000
7	73	2759540.000000
7	74	3028760.000000
7	75	1328720.000000
7	76	3513590.000000
7	77	2466730.000000
7	78	2486170.000000
7	79	1027420.000000
7	80	3190870.000000
7	81	2759540.000000
7	82	3039230.000000
7	83	1771000.000000
