InputBits	Constant	Area
2	0	563530.000000
2	1	0.000000
2	2	433500.000000
3	0	875780.000000
3	1	563530.000000
3	2	724140.000000
3	3	0.000000
3	4	1157640.000000
3	5	433500.000000
3	6	867000.000000
4	0	1046860.000000
4	1	875780.000000
4	2	895220.000000
4	3	563530.000000
4	4	1287670.000000
4	5	724140.000000
4	6	1157640.000000
4	7	0.000000
4	8	1721170.000000
4	9	1157640.000000
4	10	1571700.000000
4	11	433500.000000
4	12	1460920.000000
4	13	867000.000000
4	14	895220.000000
5	0	2024450.000000
5	1	1046860.000000
5	2	1458750.000000
5	3	875780.000000
5	4	1458750.000000
5	5	895220.000000
5	6	1328720.000000
5	7	563530.000000
5	8	1599920.000000
5	9	1287670.000000
5	10	1448280.000000
5	11	724140.000000
5	12	1881780.000000
5	13	1157640.000000
5	14	1458750.000000
5	15	0.000000
5	16	1894420.000000
5	17	1721170.000000
5	18	1328720.000000
5	19	1157640.000000
5	20	2315280.000000
5	21	1571700.000000
5	22	2005200.000000
5	23	433500.000000
5	24	1610390.000000
5	25	1460920.000000
5	26	1480360.000000
5	27	867000.000000
5	28	1458750.000000
5	29	895220.000000
5	30	1328720.000000
6	0	1879860.000000
6	1	2024450.000000
6	2	1728220.000000
6	3	1046860.000000
6	4	2204500.000000
6	5	1458750.000000
6	6	2306310.000000
6	7	875780.000000
6	8	2185060.000000
6	9	1458750.000000
6	10	2033420.000000
6	11	895220.000000
6	12	2052860.000000
6	13	1328720.000000
6	14	1706610.000000
6	15	563530.000000
6	16	2185060.000000
6	17	1599920.000000
6	18	1619360.000000
6	19	1287670.000000
6	20	2425870.000000
6	21	1448280.000000
6	22	2295840.000000
6	23	724140.000000
6	24	2445310.000000
6	25	1881780.000000
6	26	1881780.000000
6	27	1157640.000000
6	28	1771000.000000
6	29	1458750.000000
6	30	1619360.000000
6	31	0.000000
6	32	2618560.000000
6	33	1894420.000000
6	34	2052860.000000
6	35	1721170.000000
6	36	2306310.000000
6	37	1328720.000000
6	38	2176280.000000
6	39	1157640.000000
6	40	2033420.000000
6	41	2315280.000000
6	42	1881780.000000
6	43	1571700.000000
6	44	2204500.000000
6	45	2005200.000000
6	46	2052860.000000
6	47	433500.000000
6	48	1879860.000000
6	49	1610390.000000
6	50	1728220.000000
6	51	1460920.000000
6	52	2204500.000000
6	53	1480360.000000
6	54	1913860.000000
6	55	867000.000000
6	56	2185060.000000
6	57	1458750.000000
6	58	2033420.000000
6	59	895220.000000
6	60	1638800.000000
6	61	1328720.000000
6	62	1706610.000000
7	0	2507780.000000
7	1	1879860.000000
7	2	2770200.000000
7	3	2024450.000000
7	4	2291750.000000
7	5	1728220.000000
7	6	2161720.000000
7	7	1046860.000000
7	8	2748590.000000
7	9	2204500.000000
7	10	2596950.000000
7	11	1458750.000000
7	12	2507780.000000
7	13	2306310.000000
7	14	1942080.000000
7	15	875780.000000
7	16	2356140.000000
7	17	2185060.000000
7	18	1790440.000000
7	19	1458750.000000
7	20	2596950.000000
7	21	2033420.000000
7	22	2466920.000000
7	23	895220.000000
7	24	2616390.000000
7	25	2052860.000000
7	26	2466920.000000
7	27	1328720.000000
7	28	2356140.000000
7	29	1706610.000000
7	30	1790440.000000
7	31	563530.000000
7	32	2748590.000000
7	33	2185060.000000
7	34	2182890.000000
7	35	1599920.000000
7	36	2596950.000000
7	37	1619360.000000
7	38	2466920.000000
7	39	1287670.000000
7	40	2738120.000000
7	41	2425870.000000
7	42	2586480.000000
7	43	1448280.000000
7	44	2605920.000000
7	45	2295840.000000
7	46	2182890.000000
7	47	724140.000000
7	48	2618560.000000
7	49	2445310.000000
7	50	2052860.000000
7	51	1881780.000000
7	52	3039420.000000
7	53	1881780.000000
7	54	2729340.000000
7	55	1157640.000000
7	56	2334530.000000
7	57	1771000.000000
7	58	2596950.000000
7	59	1458750.000000
7	60	2575340.000000
7	61	1619360.000000
7	62	2052860.000000
7	63	0.000000
7	64	2313360.000000
7	65	2618560.000000
7	66	2161720.000000
7	67	1894420.000000
7	68	3030450.000000
7	69	2052860.000000
7	70	2900420.000000
7	71	1721170.000000
7	72	2618560.000000
7	73	2306310.000000
7	74	2466920.000000
7	75	1328720.000000
7	76	2486360.000000
7	77	2176280.000000
7	78	2140110.000000
7	79	1157640.000000
7	80	2618560.000000
7	81	2033420.000000
7	82	2466920.000000
7	83	2315280.000000
7	84	3472920.000000
7	85	1881780.000000
7	86	2729340.000000
7	87	1571700.000000
7	88	2768030.000000
7	89	2204500.000000
7	90	2638000.000000
7	91	2005200.000000
7	92	2616390.000000
7	93	2052860.000000
7	94	2466920.000000
7	95	433500.000000
7	96	2507780.000000
7	97	1879860.000000
7	98	1942080.000000
7	99	1610390.000000
7	100	2291750.000000
7	101	1728220.000000
7	102	2161720.000000
7	103	1460920.000000
7	104	2768030.000000
7	105	2204500.000000
7	106	2618560.000000
7	107	1480360.000000
7	108	2507780.000000
7	109	1913860.000000
7	110	1942080.000000
7	111	867000.000000
7	112	2356140.000000
7	113	2185060.000000
7	114	1790440.000000
7	115	1458750.000000
7	116	2596950.000000
7	117	2033420.000000
7	118	2466920.000000
7	119	895220.000000
7	120	2616390.000000
7	121	1638800.000000
7	122	2466920.000000
7	123	1328720.000000
7	124	1942080.000000
7	125	1706610.000000
7	126	1790440.000000
8	0	3071310.000000
8	1	2507780.000000
8	2	2919670.000000
8	3	1879860.000000
8	4	2898060.000000
8	5	2770200.000000
8	6	2768030.000000
8	7	2024450.000000
8	8	3018060.000000
8	9	2291750.000000
8	10	2866420.000000
8	11	1728220.000000
8	12	2830250.000000
8	13	2161720.000000
8	14	2678610.000000
8	15	1046860.000000
8	16	2919670.000000
8	17	2748590.000000
8	18	2353970.000000
8	19	2204500.000000
8	20	3362140.000000
8	21	2596950.000000
8	22	3030450.000000
8	23	1458750.000000
8	24	2657250.000000
8	25	2507780.000000
8	26	2928640.000000
8	27	2306310.000000
8	28	2919670.000000
8	29	1942080.000000
8	30	2353970.000000
8	31	875780.000000
8	32	2919670.000000
8	33	2356140.000000
8	34	2353970.000000
8	35	2185060.000000
8	36	2768030.000000
8	37	1790440.000000
8	38	2638000.000000
8	39	1458750.000000
8	40	2909200.000000
8	41	2596950.000000
8	42	2757560.000000
8	43	2033420.000000
8	44	2777000.000000
8	45	2466920.000000
8	46	2353970.000000
8	47	895220.000000
8	48	2789640.000000
8	49	2616390.000000
8	50	2223940.000000
8	51	2052860.000000
